date,home_team,away_team,league,predicted_outcome,predicted_probability,confidence_category,home_win_prob,home_win_lower,home_win_upper,draw_prob,draw_lower,draw_upper,away_win_prob,away_win_lower,away_win_upper,probability_std,margin_of_error,uncertainty_level,actual_outcome,prediction_correct
2025-05-25 00:00:00,Bournemouth,Leicester,Premier League,Away Win,0.9278420505887576,Very High,0.9278420505887576,0.10292493095888,1.0,0.0610700276593066,0.0,0.8859871472891842,0.0110879217519359,0.0,0.8360050413818134,0.4208760814438151,0.8249171196298776,High,Home Win,True
2025-05-25 00:00:00,Fulham,Man City,Premier League,Home Win,0.9222110786601871,Very High,0.0233259830635662,0.0,0.8398491024481143,0.0544629382762464,0.0,0.8709860576607945,0.9222110786601871,0.10568795927563901,1.0,0.4165934282574225,0.8165231193845481,High,Away Win,True
2025-05-25 00:00:00,Wolves,Brentford,Premier League,Draw,0.5746100220343485,Medium,0.2667408427985488,0.0,0.6121377971319335,0.5746100220343485,0.2292130677009639,0.9200069763677332,0.1586491351671028,0.0,0.5040460895004875,0.17622293588437993,0.34539695433338463,Medium,Draw,True
2025-05-25 00:00:00,Liverpool,Crystal Palace,Premier League,Draw,0.4841033735919964,Medium-Low,0.4228418017035495,0.08624424139307485,0.7594393620140242,0.4841033735919964,0.14750581328152174,0.8207009339024711,0.093054824704454,0.0,0.42965238501492864,0.1717334491379973,0.33659756031047466,Medium,Draw,True
2025-05-25 00:00:00,Tottenham,Brighton,Premier League,Home Win,0.9096212073254438,Very High,0.0310141929062064,0.0,0.8300305306561332,0.0593645997683497,0.0,0.8583809375182765,0.9096212073254438,0.11060486957551707,1.0,0.4076613968111871,0.7990163377499268,High,Away Win,True
2025-05-25 00:00:00,Nott'm Forest,Chelsea,Premier League,Home Win,0.6580275825850009,Medium-High,0.0711101314377285,0.0,0.5486561237365611,0.2708622859772707,0.0,0.7484082782761032,0.6580275825850009,0.18048159028616834,1.0,0.2436459144381799,0.4775459922988326,High,Away Win,True
2025-05-25 00:00:00,Newcastle,Everton,Premier League,Draw,0.4266357858391181,Medium-Low,0.1601511993213432,0.0,0.40040958095542706,0.4266357858391181,0.18637740420503424,0.666894167473202,0.4132130148395387,0.17295463320545484,0.6534713964736225,0.12258080695616523,0.24025838163408386,Medium,Away Win,False
2025-05-25 00:00:00,Man United,Aston Villa,Premier League,Away Win,0.8108428413759663,Very High,0.8108428413759663,0.14904544973738387,1.0,0.0933380600488134,0.0,0.7551354516873958,0.0958190985752203,0.0,0.7576164902138027,0.3376517304278482,0.6617973916385824,High,Home Win,True
2025-05-25 00:00:00,Ipswich,West Ham,Premier League,Home Win,0.90587566265271,Very High,0.0339723897412892,0.0,0.8277520336451479,0.0601519476060008,0.0,0.8539315915098595,0.90587566265271,0.11209601874885133,1.0,0.4049896142366626,0.7937796439038587,High,Away Win,True
2025-05-25 00:00:00,Southampton,Arsenal,Premier League,Home Win,0.8642211051154685,Very High,0.0370519178669318,0.0,0.7744780053076081,0.0987269770175995,0.0,0.8361530644582758,0.8642211051154685,0.12679501767479218,1.0,0.3762377997146308,0.7374260874406763,High,Away Win,True
