team,league,matches_as_home,matches_as_away,home_win_prob_avg,away_win_prob_avg,last_match_date,total_matches,overall_win_prob,ranking
Arsenal,Premier League,0.0,1.0,,0.8642211051154685,2025-05-25,1.0,,
Aston Villa,Premier League,0.0,1.0,,0.0958190985752203,2025-05-25,1.0,,
Bournemouth,Premier League,1.0,0.0,0.9278420505887576,,2025-05-25,1.0,,
Brentford,Premier League,0.0,1.0,,0.1586491351671028,2025-05-25,1.0,,
Brighton,Premier League,0.0,1.0,,0.9096212073254438,2025-05-25,1.0,,
Chelsea,Premier League,0.0,1.0,,0.6580275825850009,2025-05-25,1.0,,
Crystal Palace,Premier League,0.0,1.0,,0.093054824704454,2025-05-25,1.0,,
Everton,Premier League,0.0,1.0,,0.4132130148395387,2025-05-25,1.0,,
Fulham,Premier League,1.0,0.0,0.0233259830635662,,2025-05-25,1.0,,
Ipswich,Premier League,1.0,0.0,0.0339723897412892,,2025-05-25,1.0,,
Leicester,Premier League,0.0,1.0,,0.0110879217519359,2025-05-25,1.0,,
Liverpool,Premier League,1.0,0.0,0.4228418017035495,,2025-05-25,1.0,,
Man City,Premier League,0.0,1.0,,0.9222110786601871,2025-05-25,1.0,,
Man United,Premier League,1.0,0.0,0.8108428413759663,,2025-05-25,1.0,,
Newcastle,Premier League,1.0,0.0,0.1601511993213432,,2025-05-25,1.0,,
Nott'm Forest,Premier League,1.0,0.0,0.0711101314377285,,2025-05-25,1.0,,
Southampton,Premier League,1.0,0.0,0.0370519178669318,,2025-05-25,1.0,,
Tottenham,Premier League,1.0,0.0,0.0310141929062064,,2025-05-25,1.0,,
West Ham,Premier League,0.0,1.0,,0.90587566265271,2025-05-25,1.0,,
Wolves,Premier League,1.0,0.0,0.2667408427985488,,2025-05-25,1.0,,
